run,variable,lead_hours,wavenumber,power_ratio
baseline17,Z500,24,1,0.9621734712962933
baseline17,Z500,24,2,0.9710486695589903
baseline17,Z500,24,3,0.9396081970376757
baseline17,Z500,24,4,0.8198513289080553
baseline17,Z500,24,5,0.7430146338950401
baseline17,Z500,24,6,0.6705128296493784
baseline17,Z500,24,7,0.6650405525017575
baseline17,Z500,24,8,0.7166001322983688
baseline17,Z500,24,9,0.8579816421256576
baseline17,Z500,24,10,1.0913505959514576
baseline17,Z500,24,11,1.2907114986330719
baseline17,Z500,24,12,1.5612081508314835
baseline17,Z500,24,13,2.0417470770837873
baseline17,Z500,24,14,2.448043528661711
baseline17,Z500,24,15,3.201084974621184
baseline17,Z500,24,16,4.6665340510844695
baseline17,Z500,24,17,5.45904962054962
baseline17,Z500,24,18,6.941369719227979
baseline17,Z500,24,19,9.123313554359028
baseline17,Z500,24,20,10.28555842678755
baseline17,Z500,24,21,11.615944887724561
baseline17,Z500,24,22,13.954870173003263
baseline17,Z500,24,23,16.394573229504662
baseline17,Z500,24,24,19.67224380654973
baseline17,Z500,24,25,24.512742586675735
baseline17,Z500,24,26,30.831374652729597
baseline17,Z500,24,27,38.38690701617438
baseline17,Z500,24,28,46.18072372498505
baseline17,Z500,24,29,57.160164921420645
baseline17,Z500,24,30,62.17135451984205
baseline17,Z500,24,31,65.78933747969167
baseline17,Z500,24,32,78.72747479790078
baseline17,T850,24,1,0.9996430559782563
baseline17,T850,24,2,1.005027748199741
baseline17,T850,24,3,0.9966465456990523
baseline17,T850,24,4,0.9578123801523409
baseline17,T850,24,5,0.9314195103382734
baseline17,T850,24,6,0.894083812141685
baseline17,T850,24,7,0.8642160999895677
baseline17,T850,24,8,0.8758291064644649
baseline17,T850,24,9,0.9623125469664119
baseline17,T850,24,10,1.0400217494531676
baseline17,T850,24,11,1.0670276468109654
baseline17,T850,24,12,1.2034748228002756
baseline17,T850,24,13,1.2773817633037232
baseline17,T850,24,14,1.3634331142499112
baseline17,T850,24,15,1.4715490660380026
baseline17,T850,24,16,1.6507770892058122
baseline17,T850,24,17,1.785835337624036
baseline17,T850,24,18,1.8205241931249383
baseline17,T850,24,19,2.000755708435873
baseline17,T850,24,20,2.053211989937365
baseline17,T850,24,21,2.0869229909287137
baseline17,T850,24,22,2.292384858381175
baseline17,T850,24,23,2.295395729062666
baseline17,T850,24,24,2.482651293843576
baseline17,T850,24,25,2.765952873263835
baseline17,T850,24,26,2.9381749169098796
baseline17,T850,24,27,3.1972693224864943
baseline17,T850,24,28,3.8534930608046944
baseline17,T850,24,29,4.062349620618091
baseline17,T850,24,30,4.282088041131783
baseline17,T850,24,31,4.6134843085307224
baseline17,T850,24,32,4.895578421732528
baseline17,Q850,24,1,0.9660525608197291
baseline17,Q850,24,2,0.9772048441534298
baseline17,Q850,24,3,0.9729620444695325
baseline17,Q850,24,4,0.9530643743223551
baseline17,Q850,24,5,0.9368220413206517
baseline17,Q850,24,6,0.9119816691002798
baseline17,Q850,24,7,0.8711580025080686
baseline17,Q850,24,8,0.8913529675780205
baseline17,Q850,24,9,0.8814827769455442
baseline17,Q850,24,10,0.8845357260657525
baseline17,Q850,24,11,0.8917082496508149
baseline17,Q850,24,12,0.8733969475798203
baseline17,Q850,24,13,0.9348653343453124
baseline17,Q850,24,14,0.9219485188183917
baseline17,Q850,24,15,0.9653409858590876
baseline17,Q850,24,16,0.9874899299239162
baseline17,Q850,24,17,0.979415893872143
baseline17,Q850,24,18,0.9487634840310922
baseline17,Q850,24,19,0.9733180245579398
baseline17,Q850,24,20,1.0218302469483505
baseline17,Q850,24,21,0.9801418621275371
baseline17,Q850,24,22,1.032208613343377
baseline17,Q850,24,23,1.0792309175376344
baseline17,Q850,24,24,1.049352048010103
baseline17,Q850,24,25,1.0417316786621946
baseline17,Q850,24,26,1.110111708570241
baseline17,Q850,24,27,1.1059123692128623
baseline17,Q850,24,28,1.1052502635372679
baseline17,Q850,24,29,1.1494771131241281
baseline17,Q850,24,30,1.160366634318136
baseline17,Q850,24,31,1.1753543179890844
baseline17,Q850,24,32,1.2606555326452111
baseline17,TP6h,24,1,0.6792362175012859
baseline17,TP6h,24,2,0.6081668071070578
baseline17,TP6h,24,3,0.5888255770199256
baseline17,TP6h,24,4,0.5026475509939894
baseline17,TP6h,24,5,0.4883273524175927
baseline17,TP6h,24,6,0.43245752044194946
baseline17,TP6h,24,7,0.42235684935209045
baseline17,TP6h,24,8,0.4028091991105992
baseline17,TP6h,24,9,0.3696348187582104
baseline17,TP6h,24,10,0.3475924359395373
baseline17,TP6h,24,11,0.3143541342967634
baseline17,TP6h,24,12,0.3064882256274814
baseline17,TP6h,24,13,0.2904897672600708
baseline17,TP6h,24,14,0.2688178823384183
baseline17,TP6h,24,15,0.24966250566694959
baseline17,TP6h,24,16,0.2532276819111043
baseline17,TP6h,24,17,0.23538216035858694
baseline17,TP6h,24,18,0.21379842131177537
baseline17,TP6h,24,19,0.19141576931763954
baseline17,TP6h,24,20,0.1928313627364353
baseline17,TP6h,24,21,0.1781761361817662
baseline17,TP6h,24,22,0.1635180853907141
baseline17,TP6h,24,23,0.1607697963724029
baseline17,TP6h,24,24,0.1619535367288617
baseline17,TP6h,24,25,0.1502506066761491
baseline17,TP6h,24,26,0.1509467842096628
baseline17,TP6h,24,27,0.14114669043383782
baseline17,TP6h,24,28,0.1391972736381417
baseline17,TP6h,24,29,0.1311353305852814
baseline17,TP6h,24,30,0.13341953358857703
baseline17,TP6h,24,31,0.1422564441885695
baseline17,TP6h,24,32,0.1776018316936188
baseline17,Z500,120,1,0.825010100932494
baseline17,Z500,120,2,0.8023641662990895
baseline17,Z500,120,3,0.6742708345947364
baseline17,Z500,120,4,0.5551748847208821
baseline17,Z500,120,5,0.5135075982393417
baseline17,Z500,120,6,0.52737457817661
baseline17,Z500,120,7,0.6451858228033153
baseline17,Z500,120,8,0.8587771846002943
baseline17,Z500,120,9,1.3867790551030883
baseline17,Z500,120,10,2.0400361878926896
baseline17,Z500,120,11,3.2394929383237625
baseline17,Z500,120,12,5.3195021657935655
baseline17,Z500,120,13,8.30762961913523
baseline17,Z500,120,14,11.17112058360356
baseline17,Z500,120,15,17.062834542666497
baseline17,Z500,120,16,50.82833805319695
baseline17,Z500,120,17,31.743782242552523
baseline17,Z500,120,18,36.01579941417736
baseline17,Z500,120,19,42.071909320810384
baseline17,Z500,120,20,42.85933255662827
baseline17,Z500,120,21,49.111808243424186
baseline17,Z500,120,22,54.27118954503783
